City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tateyama,0,JP,1520902800,28,36.66,137.31,15.0,5.7
Baker City,1,US,1520903220,40,44.77,-117.83,14.0,5.1
Qaanaaq,44,GL,1520906993,100,77.48,-69.36,-23.63,1.56
Gornja Koprivna,8,BA,1520907108,81,45.01,15.95,2.07,0.96
Luanda,20,AO,1520902800,83,-8.83,13.24,25.0,1.0
Yarmouth,80,GB,1520905800,81,50.71,-1.5,7.0,3.6
Basoko,68,CD,1520907109,99,1.23,23.61,21.87,1.66
Bafq,8,IR,1520907109,64,31.6,55.4,6.87,1.96
Byron Bay,75,AU,1520904600,61,-28.65,153.62,27.0,7.2
Bemidji,1,US,1520904900,73,47.48,-94.89,-3.0,5.7
Kanker,0,IN,1520907110,39,20.27,81.49,28.07,1.96
Male,36,UA,1520907110,90,50.74,33.7,-2.73,7.46
Port Elizabeth,90,US,1520904240,97,39.31,-74.98,3.0,4.1
Praxedis Guerrero,40,MX,1520905860,31,31.37,-106.02,17.0,2.1
Zhigansk,68,RU,1520907111,81,66.77,123.37,-20.38,2.21
Fujin,88,CN,1520907111,94,47.24,132.03,-0.53,2.56
Coihaique,20,CL,1520906400,70,-45.58,-72.07,7.0,1.5
Zhanaozen,0,KZ,1520907037,74,43.35,52.85,-7.33,2.61
Rio Cuarto,0,AR,1520906400,45,-33.13,-64.35,19.0,4.1
Barra do Garcas,68,BR,1520906841,95,-15.89,-52.26,22.47,1.41
Grindavik,0,IS,1520906400,79,63.84,-22.43,-1.0,6.2
Phangnga,12,TH,1520904600,69,8.45,98.53,28.0,1.5
Venado Tuerto,20,AR,1520907113,59,-33.75,-61.97,17.62,4.61
Qeshm,20,IR,1520902800,82,26.96,56.27,21.0,2.1
Bilibino,20,RU,1520907114,52,68.06,166.44,-28.33,1.41
Luena,20,AO,1520907015,95,-11.78,19.91,16.57,1.51
Saquena,36,PE,1520907114,98,-4.67,-73.52,23.77,1.21
Shenjiamen,0,CN,1520907115,86,29.96,122.3,14.72,6.06
Lipin Bor,92,RU,1520907115,93,60.26,37.97,-2.28,8.36
Payson,40,US,1520904900,53,40.04,-111.73,12.0,3.6
Alofi,75,NU,1520906400,70,-19.06,-169.92,30.0,5.7
Alihe,0,CN,1520907116,58,50.57,123.73,-1.38,1.61
Xiaolingwei,0,CN,1520902800,55,32.03,118.85,18.0,1.0
Winchester,80,GB,1520902200,87,51.06,-1.31,7.0,4.6
Puerto Madryn,0,AR,1520907117,72,-42.77,-65.04,16.42,13.01
Madison,1,US,1520905980,78,43.07,-89.38,1.0,2.1
Guerrero Negro,0,MX,1520906964,77,27.97,-114.04,18.37,6.36
Grand Gaube,40,MU,1520902800,74,-20.01,57.66,27.0,7.2
Russkaya Polyana,32,RU,1520907118,75,53.78,73.88,-19.38,2.41
Vardo,1,US,1520905980,92,39.62,-77.74,2.0,2.6
Port Perry,90,CA,1520905440,92,44.1,-78.95,-1.0,2.6
Noyabrsk,80,RU,1520907119,82,63.2,75.45,-14.53,6.46
Clyde River,90,CA,1520902800,82,70.47,-68.59,-28.0,1.5
Hasaki,20,JP,1520904600,58,35.73,140.83,15.0,1.0
Arraial do Cabo,0,BR,1520902800,94,-22.97,-42.02,23.0,2.1
Lauria,92,IT,1520907120,100,40.05,15.84,7.12,2.46
Torzhok,88,RU,1520907120,95,57.04,34.97,0.32,8.81
Anadyr,90,RU,1520904600,76,64.73,177.51,-20.0,5.0
Bogovina,75,RS,1520904600,87,43.9,21.94,9.0,1.0
Krutikha,20,RU,1520907122,53,53.96,81.21,-20.13,1.36
Grootfontein,0,NA,1520907084,79,-19.56,18.1,18.87,3.01
Auki,0,NG,1520907122,49,12.18,6.51,15.62,1.21
Baghdad,0,IQ,1520902800,58,33.3,44.38,14.0,1.5
Gillette,1,US,1520905980,74,44.29,-105.5,-1.0,1.5
Porto Novo,75,BR,1520906400,88,-23.68,-45.44,23.0,1.5
Oussouye,0,SN,1520902800,88,12.49,-16.54,23.0,1.0
Saldanha,92,PT,1520907124,100,41.42,-6.55,6.27,1.51
Faanui,80,PF,1520906973,100,-16.48,-151.75,27.47,5.11
Sisimiut,88,GL,1520907124,78,66.94,-53.67,-14.23,0.61
Maningrida,88,AU,1520907125,94,-12.05,134.23,27.72,7.06
Eenhana,44,NA,1520907125,66,-17.48,16.34,22.72,4.46
Narsaq,0,GL,1520905800,67,60.91,-46.05,-6.0,1.91
Broome,92,GB,1520904480,93,52.47,1.45,5.0,4.6
Newport,0,GB,1520905800,93,51.59,-3.0,6.0,4.1
Inhambane,8,MZ,1520907034,97,-23.87,35.38,24.92,5.61
Noshiro,75,JP,1520902800,84,40.21,140.05,2.0,0.5
Santa Maria,0,BR,1520902800,87,-29.69,-53.81,14.0,1.0
Wanaka,0,NZ,1520907128,41,-44.7,169.14,12.32,3.16
Atuona,64,PF,1520906976,100,-9.8,-139.03,26.87,7.36
Lompoc,90,US,1520905140,93,34.64,-120.46,18.0,2.6
Puerto Ayora,92,EC,1520907129,100,-0.74,-90.35,25.12,1.41
Mackenzie,1,CA,1520902800,39,55.34,-123.09,8.0,0.51
Constitucion,5,MX,1520905440,12,23.99,-104.67,24.0,4.51
Wenchi,68,GH,1520907130,95,7.74,-2.1,22.37,4.56
Awallan,24,PH,1520907131,72,17.92,121.91,25.92,1.66
Port-Gentil,68,GA,1520907132,98,-0.72,8.78,27.22,1.66
Maracacume,100,BR,1520906909,84,-2.04,-45.96,25.57,2.86
Perene,20,PE,1520907133,95,-10.95,-75.23,20.22,0.86
Micheweni,88,TZ,1520907133,100,-4.97,39.83,26.72,0.96
Methoni,20,GR,1520904000,81,36.82,21.7,11.0,10.26
Nikolskoye,90,RU,1520904600,100,59.7,30.79,1.0,3.0
Waipawa,8,NZ,1520907134,66,-39.94,176.59,20.07,9.41
Mayor Pablo Lagerenza,8,PY,1520907134,92,-19.93,-60.77,24.82,2.66
Skibotn,0,NO,1520905800,92,69.39,20.27,-10.0,1.0
Souillac,20,FR,1520904600,87,45.6,-0.6,7.0,4.6
Leningradskiy,12,RU,1520907005,96,69.38,178.42,-22.33,5.71
Dunedin,56,NZ,1520906954,52,-45.87,170.5,13.97,6.36
Nantucket,40,US,1520903040,100,41.28,-70.1,4.0,10.3
Chitipa,92,MW,1520907136,99,-9.7,33.27,15.27,1.21
Mao,20,DO,1520906400,88,19.55,-71.08,23.0,3.6
Point Fortin,20,TT,1520902800,78,10.16,-61.68,25.0,2.1
Tiksi,8,RU,1520907137,76,71.64,128.87,-31.88,1.96
Kodiak,1,US,1520902380,44,39.95,-94.76,3.0,3.6
Mehamn,80,NO,1520907137,91,71.03,27.85,-2.88,7.76
Jamestown,0,AU,1520907137,92,-33.21,138.6,19.07,3.46
Sterling,90,US,1520905980,80,39.0,-77.4,4.0,5.1
Pangnirtung,64,CA,1520907129,73,66.15,-65.72,-17.53,0.86
Vestmannaeyjar,88,IS,1520907138,97,63.44,-20.27,1.22,7.61
Nyurba,32,RU,1520907138,55,63.29,118.35,-16.03,1.66
Poykovskiy,68,RU,1520904600,65,61.23,73.33,-15.0,5.0
Puri,92,ID,1520907139,82,-7.54,112.45,25.27,1.81
Cabedelo,40,BR,1520906400,83,-6.97,-34.84,26.0,1.5
Yilan,0,TW,1520904600,53,24.75,121.75,24.0,1.0
Cefalu,56,IT,1520907140,83,38.04,14.02,10.27,3.86
Aykhal,44,RU,1520907140,73,65.95,111.51,-24.43,2.91
Rocha,8,UY,1520906848,89,-34.48,-54.34,11.72,1.66
Concepcion,36,CO,1520907141,91,9.56,-73.66,24.72,1.06
Georgetown,40,GY,1520906400,94,6.8,-58.16,23.0,3.1
Paros,88,FR,1520907142,98,44.39,3.51,2.97,3.81
Vaini,0,IN,1520907143,49,15.34,74.49,24.37,2.41
Prabumulih,48,ID,1520907143,84,-3.5,104.19,28.72,2.21
Bowen,90,AU,1520902800,61,-20.01,148.25,28.0,9.8
Hervey Bay,80,AU,1520907144,97,-25.3,152.85,25.32,6.26
Northam,75,GB,1520905800,87,51.04,-4.21,8.0,4.1
Sola,90,FI,1520905800,100,62.78,29.36,-2.0,3.6
Krasnovishersk,76,RU,1520907144,80,60.4,57.08,-15.63,4.26
Puerto Escondido,40,MX,1520901600,78,15.86,-97.07,26.0,1.5
Kavaratti,0,IN,1520907138,100,10.57,72.64,28.62,2.61
Kruisfontein,0,ZA,1520907146,76,-34.0,24.73,18.72,5.21
Kavieng,80,PG,1520907049,100,-2.57,150.8,27.52,4.76
Thompson,40,CA,1520902800,49,55.74,-97.86,-3.0,1.5
Half Moon Bay,90,US,1520904360,93,37.46,-122.43,18.0,8.91
Gorno-Altaysk,8,RU,1520907146,89,51.96,85.96,-15.63,1.61
Sibolga,92,ID,1520907147,95,1.74,98.78,23.27,1.11
Maniitsoq,92,GL,1520907147,88,65.42,-52.9,-9.53,2.66
Coquimbo,0,CL,1520906400,87,-29.95,-71.34,15.0,2.1
Seoul,20,KR,1520906100,41,37.57,126.98,16.0,6.2
Debre Tabor,0,ET,1520907148,66,11.86,38.01,8.72,0.41
Rocky Mountain House,0,CA,1520906860,78,52.38,-114.92,-1.48,1.81
Naze,40,NG,1520902800,88,5.43,7.07,25.0,1.0
Mangit,90,UZ,1520902800,87,40.6,70.96,9.0,2.1
Ust-Omchug,20,RU,1520907149,68,61.13,149.63,-21.68,1.61
Sabang,20,PH,1520907149,87,13.72,123.58,27.37,5.06
Carthage,1,US,1520904900,81,32.16,-94.34,13.0,1.51
Quatre Cocos,40,MU,1520902800,74,-20.21,57.76,27.0,7.2
Lixourion,0,GR,1520907150,99,38.2,20.43,14.67,8.36
Ilulissat,88,GL,1520905800,71,69.22,-51.1,-14.0,0.5
Usinsk,88,RU,1520907073,88,66.0,57.56,-6.78,6.11
Raudeberg,8,NO,1520904000,59,61.99,5.14,2.0,6.2
Khatanga,0,RU,1520907151,57,71.98,102.47,-35.83,2.11
Ambon,75,FR,1520904600,76,47.55,-2.56,10.0,7.2
Safonovo,88,RU,1520907152,95,55.11,33.24,0.87,8.41
Balila,0,JO,1520902800,93,32.38,35.93,9.0,0.61
Lucapa,80,AO,1520907153,99,-8.42,20.74,18.87,1.31
Varhaug,90,NO,1520905800,100,58.61,5.65,-1.0,1.5
Nurota,88,UZ,1520904600,81,40.56,65.69,8.0,2.1
Longyearbyen,0,NO,1520905800,71,78.22,15.63,-15.0,0.5
Innisfail,5,CA,1520902800,73,52.02,-113.95,-4.0,4.1
Provideniya,0,RU,1520904600,64,64.42,-173.23,-19.0,7.0
Talaya,0,RU,1520907155,42,55.79,84.89,-25.23,1.31
Mataura,92,NZ,1520907155,81,-46.19,168.86,10.87,9.16
Beidao,12,CN,1520907155,83,34.57,105.89,11.22,1.36
Dapaong,0,TG,1520907156,69,10.86,0.2,22.57,1.21
Ust-Tsilma,92,RU,1520907152,77,65.44,52.15,-4.38,3.76
Calabozo,36,VE,1520907156,42,8.92,-67.43,30.17,5.36
Sioux Lookout,20,CA,1520902800,57,50.1,-91.92,-3.0,2.6
Bredasdorp,0,ZA,1520902800,88,-34.53,20.04,17.0,1.0
Road Town,40,VG,1520905980,100,18.42,-64.62,24.0,6.7
Mayo,40,CA,1520902800,30,63.59,-135.9,5.0,1.5
Novomykolayivka,80,UA,1520907158,95,48.54,32.26,0.72,7.16
Tashtyp,32,RU,1520907158,76,52.8,89.89,-14.28,1.51
Buala,80,SB,1520907093,94,-8.15,159.59,28.07,2.06
Kupang,24,ID,1520907158,87,-10.16,123.6,30.52,2.66
Masallatah,24,LY,1520907159,83,32.62,14.0,6.57,1.61
Esil,8,KZ,1520907159,72,51.96,66.41,-19.18,4.66
Takaka,0,NZ,1520907159,85,-40.86,172.81,18.32,4.81
Tomatlan,0,MX,1520907160,86,19.93,-105.25,20.87,1.11
Mackay,20,CA,1520902800,36,53.65,-115.58,9.0,4.6
Hebi,0,CN,1520907160,54,35.75,114.29,22.87,1.71
Sawakin,0,SD,1520907161,100,19.1,37.33,16.32,2.61
Bathsheba,40,BB,1520906400,83,13.22,-59.52,26.0,9.3
Clarence Town,40,AU,1520904600,73,-32.59,151.78,23.0,8.7
Andra,48,RU,1520907161,80,62.52,65.89,-11.88,3.41
Angouleme,0,FR,1520906400,87,45.65,0.15,7.0,3.6
Kailua,75,US,1520903460,77,21.39,-157.74,24.0,5.1
Salina Cruz,0,MX,1520907162,58,16.18,-95.2,25.47,9.11
Nova Olimpia,20,BR,1520907163,86,-14.8,-57.29,24.27,1.16
Hobart,40,AU,1520904600,46,-42.88,147.33,21.0,5.1
Korablino,80,RU,1520907163,84,53.92,40.02,-8.88,6.01
Carbonear,90,CA,1520905980,100,47.73,-53.24,-1.0,10.3
De Aar,0,ZA,1520907164,65,-30.65,24.01,9.37,1.31
Comodoro Rivadavia,0,AR,1520906400,38,-45.87,-67.48,16.0,9.3
Acajutla,0,SV,1520902200,31,13.59,-89.83,31.0,2.6
Cabo San Lucas,20,MX,1520905920,42,22.89,-109.91,27.0,2.1
Uruacu,68,BR,1520907031,98,-14.52,-49.14,21.17,1.41
Vao,92,EE,1520907150,97,59.1,26.19,2.62,4.31
Champasak,0,LA,1520902800,65,14.89,105.88,25.0,2.1
Gat,0,SN,1520907166,65,14.69,-16.54,22.72,4.41
Malacacheta,76,BR,1520907166,96,-17.84,-42.08,21.92,1.26
Manta,56,RO,1520907166,96,45.1,24.1,6.32,1.01
Kapaa,90,US,1520902560,69,22.08,-159.32,23.0,8.7
Denpasar,92,ID,1520906994,93,-8.65,115.22,25.57,0.81
Tasiilaq,12,GL,1520905800,44,65.61,-37.64,-6.0,3.6
Severo-Yeniseyskiy,20,RU,1520907167,56,60.37,93.04,-21.03,1.46
Puerto del Rosario,0,ES,1520904600,72,28.5,-13.86,17.0,1.5
Katsuura,0,JP,1520902800,50,33.93,134.5,13.0,2.1
Dafeng,0,CN,1520907168,67,33.2,120.46,21.12,3.91
Trincomalee,92,LK,1520907169,99,8.58,81.23,25.22,3.91
Ponta do Sol,0,BR,1520907169,86,-20.63,-46.0,20.22,1.41
Cidreira,0,BR,1520907169,95,-30.17,-50.22,15.37,1.06
Longkou,0,CN,1520907170,54,37.64,120.47,14.37,7.31
Huarmey,88,PE,1520907170,74,-10.07,-78.15,19.62,1.21
Kungurtug,76,RU,1520907170,74,50.6,97.53,-6.88,1.81
Fort Nelson,75,CA,1520902800,31,58.81,-122.69,10.0,2.1
Tarauaca,56,BR,1520907171,87,-8.16,-70.77,25.62,1.76
Sherpur,0,BD,1520907172,77,25.02,90.01,21.82,2.41
Manado,40,ID,1520906400,66,1.49,124.85,31.0,3.1
Presidencia Roque Saenz Pena,20,AR,1520907172,72,-26.79,-60.44,24.77,3.21
Kilosa,68,TZ,1520907173,97,-6.84,36.99,19.52,1.11
Tabou,92,CI,1520907173,100,4.42,-7.36,25.77,4.46
Jiuquan,0,CN,1520907173,67,39.73,98.49,4.27,2.21
Sumbe,0,AO,1520907174,100,-11.2,13.84,22.87,1.96
Klaebu,90,NO,1520905800,100,63.3,10.48,-3.0,1.5
Fairbanks,1,US,1520902680,73,64.84,-147.72,0.0,1.31
Gorontalo,20,ID,1520907176,70,0.54,123.06,29.62,1.06
Eureka,90,US,1520906100,72,40.8,-124.16,18.0,7.96
Dubbo,0,AU,1520904600,30,-32.25,148.6,29.0,2.1
Davila,20,PH,1520902800,51,18.47,120.58,27.0,1.0
Beringovskiy,88,RU,1520907177,91,63.05,179.32,-6.03,8.41
Otaru,75,JP,1520904000,80,43.18,140.99,2.0,7.2
Shimoda,20,JP,1520902800,66,34.7,138.93,12.0,1.5
Chimore,56,BO,1520907178,94,-16.98,-65.13,23.27,1.66
Challans,75,FR,1520904600,87,46.85,-1.88,10.0,6.7
Hermanus,0,ZA,1520907179,88,-34.42,19.24,13.22,1.31
Saint-Philippe,90,CA,1520904900,82,45.36,-73.48,1.0,1.5
Abidjan,40,CI,1520904600,83,5.32,-4.02,29.0,4.1
Chuy,44,UY,1520907179,98,-33.69,-53.46,16.27,2.11
Albany,90,US,1520904360,69,42.65,-73.75,4.0,3.1
Lukhovitsy,56,RU,1520907180,90,54.97,39.03,-4.13,7.01
Acari,48,BR,1520907078,93,-6.44,-36.64,21.37,2.51
Aswan,0,EG,1520907181,76,24.09,32.9,12.22,2.26
Isagarh,0,IN,1520907181,41,24.84,77.89,24.62,1.01
Bambous Virieux,40,MU,1520902800,74,-20.34,57.76,27.0,7.2
Hovd,90,NO,1520905800,100,63.83,10.7,-3.0,1.5
Cururupu,100,BR,1520907182,82,-1.82,-44.87,26.57,3.16
Gairo,92,TZ,1520907182,100,-6.14,36.87,17.07,1.81
Lac du Bonnet,0,CA,1520907183,80,50.25,-96.06,-9.23,3.96
Okha,76,RU,1520907183,97,53.59,142.95,-8.03,2.26
Ladwa,0,IN,1520907183,72,30.0,77.05,21.92,1.21
Khudat,44,AZ,1520907183,100,41.63,48.68,-5.28,0.76
Sidi Ali,88,DZ,1520907184,74,36.1,0.42,11.22,2.46
Yulara,0,AU,1520902800,20,-25.24,130.99,31.0,7.2
Tuatapere,80,NZ,1520907035,100,-46.13,167.69,11.17,9.71
Isiro,64,CD,1520907185,98,2.77,27.62,19.82,1.01
Port Augusta,0,AU,1520902800,59,-32.49,137.76,19.0,6.7
Cape Town,0,ZA,1520902800,88,-33.93,18.42,17.0,3.6
Badarganj,0,BD,1520907185,63,25.68,89.06,23.12,4.76
Ostersund,80,SE,1520905800,92,63.18,14.64,-5.0,3.1
Uyuni,0,BO,1520907186,74,-20.46,-66.82,3.32,1.41
Sotnikovskoye,20,RU,1520907186,86,45.0,43.79,-6.43,4.56
Saint-Augustin,0,FR,1520906400,87,44.83,-0.61,9.0,3.6
Jacmel,0,HT,1520907187,97,18.24,-72.54,25.92,7.96
Borovoy,80,RU,1520907187,81,63.23,52.89,-8.63,4.46
Imeni Poliny Osipenko,68,RU,1520907188,80,52.42,136.49,-5.03,2.21
Colombo,40,LK,1520903400,88,6.93,79.85,24.0,1.5
Malartic,90,CA,1520905380,92,48.14,-78.13,-4.0,1.5
Khash,0,IR,1520907189,64,28.22,61.21,8.67,2.06
Bud,0,NO,1520905800,68,62.91,6.91,1.0,3.1
Nizhnyaya Salda,0,RU,1520907189,64,58.07,60.71,-17.63,2.36
Morros,20,BR,1520906400,83,-2.87,-44.04,27.0,3.6
Lagoa,75,PT,1520904600,100,37.14,-8.45,15.0,3.1
Los Llanos de Aridane,8,ES,1520906400,82,28.66,-17.92,16.0,3.1
Wewak,56,PG,1520907191,68,-3.55,143.63,30.47,2.26
Roswell,1,US,1520904900,27,33.39,-104.52,14.0,5.7
Talnakh,64,RU,1520906963,84,69.49,88.39,-25.48,8.21
Ahipara,80,NZ,1520907191,81,-35.17,173.16,20.92,7.11
Axim,56,GH,1520907192,100,4.87,-2.24,27.37,4.11
Vestmanna,88,FO,1520905800,55,62.16,-7.17,4.0,8.7
Moussoro,0,TD,1520907192,14,13.64,16.49,22.87,5.91
San Patricio,0,PY,1520906927,65,-26.98,-56.83,24.67,2.06
Viseu,40,PT,1520902800,93,40.66,-7.91,10.0,4.6
Saskylakh,64,RU,1520907193,82,71.97,114.09,-32.53,2.96
Port Lincoln,0,AU,1520907193,85,-34.72,135.86,19.72,5.16
Olovyannaya,80,RU,1520907194,63,50.94,115.59,-3.93,2.86
Hambantota,80,LK,1520907194,100,6.12,81.12,25.72,6.46
Port Alfred,0,ZA,1520906936,84,-33.59,26.89,21.92,9.36
Esperance,20,TT,1520902800,78,10.24,-61.45,25.0,2.1
Bonavista,0,CA,1520907195,85,48.65,-53.11,-0.33,8.06
Bolobo,36,CD,1520907195,97,-2.17,16.23,22.97,1.21
